Date,Time,pH
9/1/2020,1:56:08 PM,3.89
9/1/2020,1:56:10 PM,6.60
9/1/2020,1:56:12 PM,4.60
9/1/2020,1:56:14 PM,3.91
9/1/2020,1:56:16 PM,3.90
9/1/2020,1:56:18 PM,4.00
9/1/2020,1:56:20 PM,12.50
9/1/2020,1:56:22 PM,12.61
9/1/2020,1:56:24 PM,11.78
9/1/2020,1:56:26 PM,12.46
9/1/2020,1:56:28 PM,8.78
9/1/2020,1:56:30 PM,5.08
9/1/2020,1:56:32 PM,4.15
9/1/2020,1:56:34 PM,6.37
9/1/2020,1:56:36 PM,9.15
9/1/2020,1:56:38 PM,8.57
9/1/2020,1:56:40 PM,7.60
9/1/2020,1:56:42 PM,12.10
9/1/2020,1:56:44 PM,12.55
9/1/2020,1:56:46 PM,9.05
9/1/2020,1:56:48 PM,10.81
9/1/2020,1:56:50 PM,9.50
9/1/2020,1:56:52 PM,7.78
9/1/2020,1:56:54 PM,10.86
9/1/2020,1:56:56 PM,9.50
9/1/2020,1:56:58 PM,9.43
9/1/2020,1:57:00 PM,8.81
9/1/2020,1:57:02 PM,5.35
9/1/2020,1:57:04 PM,4.12
9/1/2020,1:57:06 PM,5.96
9/1/2020,1:57:08 PM,12.30
9/1/2020,1:57:10 PM,12.49
9/1/2020,1:57:12 PM,12.49
9/1/2020,1:57:14 PM,12.40
9/1/2020,1:57:16 PM,12.48
9/1/2020,1:57:18 PM,12.34
9/1/2020,1:57:20 PM,6.77
9/1/2020,1:57:22 PM,4.59
9/1/2020,1:57:24 PM,8.47
9/1/2020,1:57:26 PM,8.68
9/1/2020,1:57:28 PM,11.83
9/1/2020,1:57:30 PM,8.70
9/1/2020,1:57:32 PM,9.70
9/1/2020,1:57:34 PM,8.41
9/1/2020,1:57:36 PM,4.07
9/1/2020,1:57:38 PM,4.64
9/1/2020,1:57:40 PM,9.05
9/1/2020,1:57:42 PM,11.57
9/1/2020,1:57:44 PM,12.52
9/1/2020,1:57:46 PM,8.67
9/1/2020,1:57:48 PM,5.23
9/1/2020,1:57:50 PM,5.20
9/1/2020,1:57:52 PM,7.44
9/1/2020,1:57:54 PM,4.30
9/1/2020,1:57:56 PM,3.73
9/1/2020,1:57:58 PM,12.47
9/1/2020,1:58:00 PM,12.80
9/1/2020,1:58:02 PM,12.14
9/1/2020,1:58:04 PM,9.12
9/1/2020,1:58:06 PM,6.29
9/1/2020,1:58:08 PM,10.65
9/1/2020,1:58:10 PM,12.63
9/1/2020,1:58:12 PM,12.38
9/1/2020,1:58:14 PM,9.10
9/1/2020,1:58:16 PM,9.16
9/1/2020,1:58:18 PM,9.13
9/1/2020,1:58:20 PM,5.10
9/1/2020,1:58:22 PM,4.77
9/1/2020,1:58:24 PM,9.76
9/1/2020,1:58:26 PM,9.90
9/1/2020,1:58:28 PM,7.87
9/1/2020,1:58:30 PM,7.01
9/1/2020,1:58:32 PM,3.86
9/1/2020,1:58:34 PM,8.04
9/1/2020,1:58:36 PM,11.98
9/1/2020,1:58:38 PM,5.11
9/1/2020,1:58:40 PM,4.38
9/1/2020,1:58:42 PM,12.37
9/1/2020,1:58:44 PM,10.88
9/1/2020,1:58:46 PM,10.59
9/1/2020,1:58:48 PM,10.16
9/1/2020,1:58:50 PM,9.15
9/1/2020,1:58:52 PM,11.25
9/1/2020,1:58:54 PM,11.57
9/1/2020,1:58:56 PM,10.99
9/1/2020,1:58:58 PM,11.48
9/1/2020,1:59:00 PM,5.65
9/1/2020,1:59:02 PM,4.35
9/1/2020,1:59:04 PM,3.97
9/1/2020,1:59:06 PM,3.91
9/1/2020,1:59:08 PM,3.81
9/1/2020,1:59:10 PM,7.95
9/1/2020,1:59:12 PM,4.92
9/1/2020,1:59:14 PM,4.64
9/1/2020,1:59:16 PM,4.99
9/1/2020,1:59:18 PM,4.60
9/1/2020,1:59:20 PM,7.23
9/1/2020,1:59:22 PM,12.18
9/1/2020,1:59:24 PM,10.65
9/1/2020,1:59:26 PM,5.78
9/1/2020,1:59:28 PM,10.11
9/1/2020,1:59:30 PM,12.09
9/1/2020,1:59:32 PM,12.31
9/1/2020,1:59:34 PM,12.03
9/1/2020,1:59:36 PM,9.90
9/1/2020,1:59:38 PM,11.26
9/1/2020,1:59:40 PM,10.31
9/1/2020,1:59:42 PM,10.91
9/1/2020,1:59:44 PM,12.16
9/1/2020,1:59:46 PM,12.00
9/1/2020,1:59:48 PM,12.18
9/1/2020,1:59:50 PM,12.46
9/1/2020,1:59:52 PM,12.54
9/1/2020,1:59:54 PM,12.61
9/1/2020,1:59:56 PM,12.70
9/1/2020,1:59:58 PM,12.69
9/1/2020,2:00:00 PM,12.60
9/1/2020,2:00:02 PM,12.67
9/1/2020,2:00:04 PM,12.53
9/1/2020,2:00:06 PM,12.05
9/1/2020,2:00:08 PM,11.22
9/1/2020,2:00:10 PM,10.42
9/1/2020,2:00:12 PM,10.95
9/1/2020,2:00:15 PM,11.90
9/1/2020,2:00:16 PM,12.01
9/1/2020,2:00:18 PM,11.39
9/1/2020,2:00:20 PM,8.90
9/1/2020,2:00:22 PM,6.88
9/1/2020,2:00:24 PM,5.08
9/1/2020,2:00:26 PM,4.28
9/1/2020,2:00:28 PM,4.02
9/1/2020,2:00:30 PM,3.88
9/1/2020,2:00:32 PM,3.79
9/1/2020,2:00:34 PM,3.70
9/1/2020,2:00:36 PM,3.65
9/1/2020,2:00:38 PM,3.64
9/1/2020,2:00:40 PM,3.61
9/1/2020,2:00:42 PM,3.60
9/1/2020,2:00:44 PM,3.61
9/1/2020,2:00:46 PM,3.61
9/1/2020,2:00:48 PM,3.61
9/1/2020,2:00:50 PM,3.63
9/1/2020,2:00:52 PM,3.63
9/1/2020,2:00:54 PM,3.61
9/1/2020,2:00:56 PM,3.61
9/1/2020,2:00:58 PM,3.61
9/1/2020,2:01:00 PM,3.59
9/1/2020,2:01:02 PM,3.58
9/1/2020,2:01:04 PM,3.59
9/1/2020,2:01:06 PM,3.61
9/1/2020,2:01:08 PM,3.61
9/1/2020,2:01:10 PM,3.61
9/1/2020,2:01:12 PM,3.63
9/1/2020,2:01:14 PM,3.64
9/1/2020,2:01:16 PM,3.64
9/1/2020,2:01:18 PM,3.63
9/1/2020,2:01:20 PM,3.63
9/1/2020,2:01:22 PM,3.63
9/1/2020,2:01:24 PM,3.61
9/1/2020,2:01:26 PM,3.61
9/1/2020,2:01:28 PM,3.64
9/1/2020,2:01:30 PM,3.64
9/1/2020,2:01:32 PM,3.64
9/1/2020,2:01:34 PM,3.65
9/1/2020,2:01:36 PM,3.67
9/1/2020,2:01:38 PM,3.67
9/1/2020,2:01:40 PM,3.67
9/1/2020,2:01:42 PM,3.67
9/1/2020,2:01:44 PM,3.67
9/1/2020,2:01:46 PM,3.68
9/1/2020,2:01:48 PM,3.67
9/1/2020,2:01:50 PM,3.73
9/1/2020,2:01:52 PM,3.82
9/1/2020,2:01:54 PM,4.65
9/1/2020,2:01:56 PM,6.91
9/1/2020,2:01:58 PM,7.66
9/1/2020,2:02:00 PM,8.24
9/1/2020,2:02:02 PM,8.47
9/1/2020,2:02:04 PM,8.73
9/1/2020,2:02:06 PM,8.87
9/1/2020,2:02:08 PM,8.96
9/1/2020,2:02:10 PM,9.34
9/1/2020,2:02:12 PM,8.47
9/1/2020,2:02:14 PM,8.40
9/1/2020,2:02:16 PM,8.36
9/1/2020,2:02:18 PM,8.38
9/1/2020,2:02:20 PM,8.27
9/1/2020,2:02:22 PM,8.27
9/1/2020,2:02:24 PM,8.12
9/1/2020,2:02:27 PM,7.98
9/1/2020,2:02:28 PM,7.95
9/1/2020,2:02:31 PM,7.94
9/1/2020,2:02:33 PM,7.93
9/1/2020,2:02:35 PM,7.90
9/1/2020,2:02:37 PM,7.82
9/1/2020,2:02:39 PM,7.76
9/1/2020,2:02:41 PM,7.81
9/1/2020,2:02:43 PM,7.82
9/1/2020,2:02:45 PM,7.75
9/1/2020,2:02:47 PM,7.67
9/1/2020,2:02:49 PM,8.73
9/1/2020,2:02:51 PM,10.77
9/1/2020,2:02:53 PM,10.87
9/1/2020,2:02:55 PM,10.59
9/1/2020,2:02:57 PM,10.11
9/1/2020,2:02:59 PM,9.96
9/1/2020,2:03:01 PM,9.89
9/1/2020,2:03:03 PM,9.91
9/1/2020,2:03:05 PM,9.47
9/1/2020,2:03:07 PM,9.23
9/1/2020,2:03:09 PM,9.14
9/1/2020,2:03:11 PM,9.07
9/1/2020,2:03:13 PM,8.59
9/1/2020,2:03:15 PM,8.30
9/1/2020,2:03:17 PM,8.07
9/1/2020,2:03:19 PM,8.07
9/1/2020,2:03:21 PM,7.81
9/1/2020,2:03:23 PM,7.81
9/1/2020,2:03:25 PM,7.73
9/1/2020,2:03:27 PM,7.13
9/1/2020,2:03:29 PM,7.01
9/1/2020,2:03:31 PM,6.69
9/1/2020,2:03:33 PM,6.47
9/1/2020,2:03:35 PM,6.30
9/1/2020,2:03:37 PM,6.02
9/1/2020,2:03:39 PM,5.84
9/1/2020,2:03:41 PM,5.81
9/1/2020,2:03:43 PM,5.72
9/1/2020,2:03:45 PM,5.64
9/1/2020,2:03:47 PM,5.70
9/1/2020,2:03:49 PM,5.81
9/1/2020,2:03:51 PM,5.54
9/1/2020,2:03:53 PM,5.53
9/1/2020,2:03:55 PM,5.51
9/1/2020,2:03:57 PM,5.26
9/1/2020,2:03:59 PM,5.20
9/1/2020,2:04:01 PM,5.23
9/1/2020,2:04:03 PM,5.19
9/1/2020,2:04:05 PM,5.23
9/1/2020,2:04:07 PM,4.93
9/1/2020,2:04:09 PM,4.94
9/1/2020,2:04:11 PM,7.60
9/1/2020,2:04:13 PM,9.24
9/1/2020,2:04:15 PM,8.19
9/1/2020,2:04:17 PM,7.98
9/1/2020,2:04:19 PM,8.93
9/1/2020,2:04:21 PM,10.41
9/1/2020,2:04:23 PM,10.73
9/1/2020,2:04:25 PM,10.98
9/1/2020,2:04:27 PM,11.18
9/1/2020,2:04:29 PM,11.21
9/1/2020,2:04:31 PM,11.34
9/1/2020,2:04:33 PM,11.26
9/1/2020,2:04:35 PM,11.33
9/1/2020,2:04:37 PM,11.27
9/1/2020,2:04:39 PM,11.27
9/1/2020,2:04:41 PM,11.34
9/1/2020,2:04:43 PM,11.27
9/1/2020,2:04:45 PM,11.22
9/1/2020,2:04:47 PM,11.24
9/1/2020,2:04:49 PM,11.25
9/1/2020,2:04:51 PM,11.30
9/1/2020,2:04:53 PM,11.25
9/1/2020,2:04:55 PM,11.17
9/1/2020,2:04:57 PM,11.18
9/1/2020,2:04:59 PM,11.20
9/1/2020,2:05:01 PM,11.22
9/1/2020,2:05:03 PM,11.14
9/1/2020,2:05:05 PM,11.04
9/1/2020,2:05:07 PM,10.99
9/1/2020,2:05:09 PM,10.88
9/1/2020,2:05:11 PM,10.75
9/1/2020,2:05:13 PM,9.71
9/1/2020,2:05:15 PM,9.44
9/1/2020,2:05:17 PM,9.33
9/1/2020,2:05:19 PM,9.20
9/1/2020,2:05:21 PM,9.10
9/1/2020,2:05:23 PM,8.98
9/1/2020,2:05:25 PM,8.88
9/1/2020,2:05:27 PM,8.82
9/1/2020,2:05:29 PM,8.76
9/1/2020,2:05:31 PM,8.71
9/1/2020,2:05:33 PM,8.67
9/1/2020,2:05:35 PM,8.99
9/1/2020,2:05:37 PM,8.88
9/1/2020,2:05:39 PM,8.82
9/1/2020,2:05:41 PM,8.76
9/1/2020,2:05:43 PM,8.70
9/1/2020,2:05:45 PM,8.64
